,WA_clean,WB_noise_outliers,WC_missingness,WD_shift,WE_surrogate_corrupt,WF_nonlinear,WG_label_noise,WH_subgroup_shift,WI_prevalence_shift,WJ_concept_drift
WA_clean,1.0,1.0,1.0,0.9642857142857145,1.0,-0.28571428571428575,0.9642857142857145,1.0,0.8928571428571429,0.9642857142857145
WB_noise_outliers,1.0,1.0,1.0,0.9642857142857145,1.0,-0.28571428571428575,0.9642857142857145,1.0,0.8928571428571429,0.9642857142857145
WC_missingness,1.0,1.0,1.0,0.9642857142857145,1.0,-0.28571428571428575,0.9642857142857145,1.0,0.8928571428571429,0.9642857142857145
WD_shift,0.9642857142857145,0.9642857142857145,0.9642857142857145,1.0,0.9642857142857145,-0.39285714285714296,1.0,0.9642857142857145,0.8571428571428573,0.8928571428571429
WE_surrogate_corrupt,1.0,1.0,1.0,0.9642857142857145,1.0,-0.28571428571428575,0.9642857142857145,1.0,0.8928571428571429,0.9642857142857145
WF_nonlinear,-0.28571428571428575,-0.28571428571428575,-0.28571428571428575,-0.39285714285714296,-0.28571428571428575,1.0,-0.39285714285714296,-0.28571428571428575,-0.03571428571428572,-0.10714285714285716
WG_label_noise,0.9642857142857145,0.9642857142857145,0.9642857142857145,1.0,0.9642857142857145,-0.39285714285714296,1.0,0.9642857142857145,0.8571428571428573,0.8928571428571429
WH_subgroup_shift,1.0,1.0,1.0,0.9642857142857145,1.0,-0.28571428571428575,0.9642857142857145,1.0,0.8928571428571429,0.9642857142857145
WI_prevalence_shift,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8571428571428573,0.8928571428571429,-0.03571428571428572,0.8571428571428573,0.8928571428571429,1.0,0.9642857142857145
WJ_concept_drift,0.9642857142857145,0.9642857142857145,0.9642857142857145,0.8928571428571429,0.9642857142857145,-0.10714285714285716,0.8928571428571429,0.9642857142857145,0.9642857142857145,1.0
